"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
10021,2012,2,82000,28,411328
10021,2013,4,102500,20,371800
10021,2014,2,32500,0,0
10021,2015,1,20000,12,166000
10022,2005,5,110000,56,1521060
10022,2006,5,55000,40,947800
10022,2007,6,90000,54,1059480
10022,2008,6,130000,54,1036250
10022,2009,9,203000,42,891100
10022,2010,6,230913,60,1043764
10022,2011,7,222684,34,550100
10022,2012,3,113000,22,317680
10022,2013,5,165000,30,426318
10022,2014,2,60000,2,30000
10022,2015,8,224313,18,180000
10023,2005,23,1338000,98,3056800
10023,2006,24,1203500,110,3195300
10023,2007,25,1307383,118,3480580
10023,2008,30,1440500,116,4028220
10023,2009,45,2103000,86,3625600
10023,2010,31,1779000,108,3330078
10023,2011,30,1643500,102,2645324
10023,2012,27,1298000,110,2444200
10023,2013,26,1447462,84,1974618
10023,2014,24,1319500,22,871632
10023,2015,26,1411800,78,1892638
10024,2005,8,148500,60,1104942
10024,2006,6,220000,64,1098200
10024,2007,5,199207,60,1225650
10024,2008,5,175000,74,1582400
10024,2009,12,2079849,56,1413200
10024,2010,16,840112,70,1388102
10024,2011,7,834695,68,1232884
10024,2012,9,430703,62,1047260
10024,2013,8,982916,48,1001720
10024,2014,9,389288,32,776040
10024,2015,9,579874,46,1037534
10025,2005,3,75000,90,853122
10025,2006,6,85000,84,732600
10025,2007,7,135000,88,849550
10025,2008,8,130000,100,1120200
10025,2009,7,90000,60,772800
10025,2010,11,212500,80,709332
10025,2011,7,102500,72,728974
10025,2012,7,91000,70,507048
10025,2013,7,197500,66,464612
10025,2014,8,152500,6,40000
10025,2015,8,120000,60,669700
10026,2005,1,20000,2,8000
10026,2010,0,0,2,10000
10026,2011,0,0,2,8308
10026,2012,0,0,4,12000
10026,2013,0,0,6,14000
10026,2014,0,0,4,16644
10026,2015,1,25000,0,0
10027,2005,3,75000,46,797000
10027,2006,6,135000,44,766500
10027,2007,5,130000,62,986414
10027,2008,7,295700,70,1099236
10027,2009,7,285000,44,866200
10027,2010,11,1295998,42,977272
10027,2011,6,229674,40,802904
10027,2012,7,190000,40,658940
10027,2013,11,444000,36,862780
10027,2014,11,330000,8,60000
10027,2015,11,417300,38,703000
10028,2005,1,1e+05,18,482812
10028,2006,2,603550,8,420000
10028,2007,1,95000,8,441000
10028,2008,2,220000,12,510000
10028,2009,2,225000,8,480400
10028,2010,2,2e+05,12,440482
10028,2011,1,75000,8,314106
10028,2012,1,44000,6,284720
10028,2013,2,1e+05,10,310720
10028,2014,1,85000,0,0
10028,2015,2,95000,8,273064
10029,2005,5,161700,44,922600
10029,2006,2,40000,62,982200
10029,2007,4,117500,58,1124260
10029,2008,5,262449,68,1238000
10029,2009,5,180000,40,878800
10029,2010,4,60794,40,754730
10029,2011,6,210508,40,666388
10029,2012,3,185000,38,614090
10029,2013,3,212500,30,569920
10029,2014,4,349560,8,126782
10029,2015,4,148088,26,492082
10030,2005,0,0,22,575400
10030,2006,2,47000,14,483200
10030,2007,0,0,16,500790
10030,2008,1,30000,12,681600
10030,2009,0,0,8,549400
10030,2010,0,0,10,268932
10030,2011,0,0,8,78922
10030,2012,1,15000,20,161480
10030,2013,0,0,14,121240
10030,2014,1,25000,0,0
10030,2015,1,10000,12,118200
10031,2005,5,195000,36,652900
10031,2006,4,145000,30,631600
10031,2007,3,95000,32,619850
10031,2008,7,215000,20,507700
10031,2009,7,270000,10,240800
10031,2010,6,230000,20,594528
10031,2011,3,135000,16,444062
10031,2012,3,120000,14,296700
10031,2013,3,110000,16,382700
10031,2014,2,80000,4,162680
10031,2015,3,120000,12,319612
10032,2005,0,0,4,28400
10032,2006,2,20000,6,40200
10032,2007,0,0,8,49280
10032,2008,3,37027,4,33600
10032,2009,5,70000,6,48800
10032,2010,3,65000,10,73540
10032,2011,3,120000,12,82284
10032,2012,1,20000,16,123020
10032,2013,2,30000,16,153460
10032,2014,3,45000,0,0
10032,2015,0,0,16,145060
10033,2005,0,0,4,25800
10033,2006,1,10000,6,30000
10033,2007,0,0,4,20300
10033,2008,0,0,2,15000
10033,2009,0,0,4,19800
10033,2010,1,30000,6,23822
10033,2011,1,10000,6,32242
10033,2012,0,0,20,223680
10033,2013,0,0,14,91280
10033,2014,0,0,4,16000
10033,2015,0,0,8,51600
10034,2005,1,45000,2,9800
10034,2006,1,40000,2,9800
10034,2007,0,0,2,9920
10034,2008,0,0,6,43000
10034,2009,0,0,4,23000
10034,2010,0,0,4,25000
10034,2011,0,0,6,26506
10034,2012,0,0,4,23330
10034,2013,1,40000,4,22000
10034,2014,1,25000,0,0
10034,2015,0,0,8,52000
10035,2005,1,10000,8,178600
10035,2006,1,35000,4,66000
10035,2007,2,50000,8,121000
10035,2008,0,0,14,276000
10035,2009,1,15000,6,187600
10035,2010,0,0,6,88000
10035,2011,0,0,10,104440
10035,2012,1,20000,12,134520
10035,2013,0,0,10,132000
10035,2014,0,0,4,74000
10035,2015,3,1e+05,4,79734
10036,2005,17,499000,122,1823400
10036,2006,14,323000,110,1676000
10036,2007,16,346000,118,1984410
10036,2008,24,525000,136,2533400
10036,2009,37,1030000,80,1677600
10036,2010,31,881000,118,1853610
10036,2011,26,935425,116,2167292
10036,2012,23,729000,116,1745934
10036,2013,28,9e+05,104,1584730
10036,2014,26,754847,16,423800
10036,2015,24,665000,116,1906580
10037,2006,1,10000,2,15000
10037,2007,0,0,2,15750
10037,2008,1,25000,0,0
10037,2010,2,1e+05,2,11848
10037,2011,1,50000,2,9890
10037,2012,1,50000,4,25000
10037,2013,1,85000,2,48000
10037,2014,1,50000,0,0
10037,2015,2,45000,2,48000
10038,2005,8,230000,24,197000
10038,2006,8,180000,48,1067346
10038,2007,10,262332,46,1284760
10038,2008,7,317493,36,1314200
10038,2009,11,4e+05,28,1416400
10038,2010,9,395000,36,1495252
10038,2011,11,391500,26,1147028
10038,2012,4,2e+05,26,1068792
10038,2013,7,202500,32,1154682
10038,2014,5,215000,2,8472
10038,2015,7,205000,56,1466696
10039,2005,1,40000,0,0
10039,2006,1,15000,0,0
10039,2007,1,20000,0,0
10039,2008,1,30000,0,0
10039,2009,0,0,6,85600
10039,2010,1,55000,8,80000
10039,2011,1,30000,6,83076
10039,2012,0,0,4,70600
10039,2013,0,0,4,70600
10039,2015,0,0,4,66000
10040,2005,1,10000,6,19400
10040,2006,0,0,4,14400
10040,2007,2,27500,4,15120
10040,2008,1,7500,4,16600
10040,2009,1,10000,2,10000
10040,2010,2,50000,14,67478
10040,2011,1,10000,10,54000
10040,2012,0,0,10,44326
10040,2013,0,0,4,29380
10040,2014,2,20000,4,30000
10040,2015,3,32500,2,10000
10041,2005,0,0,2,194
10044,2005,0,0,2,10000
10044,2006,0,0,2,10000
10044,2007,0,0,2,10500
10044,2015,0,0,2,15000
10065,2005,4,360395,0,0
10065,2006,1,18000,0,0
10065,2007,2,70983,0,0
10065,2008,2,50000,0,0
10065,2009,4,120000,0,0
10065,2010,4,101000,0,0
10065,2011,5,148000,0,0
10065,2012,3,67500,0,0
10065,2013,4,165000,0,0
10065,2014,5,220000,0,0
10065,2015,4,155000,0,0
10069,2007,1,20000,0,0
10107,2005,0,0,4,44000
10107,2006,0,0,4,44000
10107,2007,0,0,2,39900
10107,2008,0,0,2,43800
10107,2009,0,0,2,43000
10107,2010,0,0,4,48440
10107,2011,0,0,2,36000
10107,2012,0,0,2,32600
10107,2013,0,0,2,28000
10107,2015,0,0,2,28000
10110,2006,1,25000,0,0
10110,2008,1,40000,0,0
10110,2010,1,25000,0,0
10110,2011,1,20000,0,0
10110,2013,1,20000,0,0
10110,2014,1,20000,0,0
10110,2015,1,25000,0,0
10115,2005,1,60000,0,0
10115,2006,1,20000,0,0
10115,2007,1,15000,0,0
10115,2008,2,20000,0,0
10115,2009,1,15000,0,0
10115,2010,1,20000,2,6400
10115,2011,1,28000,2,33230
10115,2012,1,15000,2,23200
10115,2013,0,0,2,21200
10115,2014,2,60000,0,0
10115,2015,2,65000,2,42000
10122,2005,0,0,2,59600
10122,2006,0,0,2,50000
10122,2007,0,0,2,52500
10122,2008,0,0,4,92800
10122,2009,0,0,2,22000
10122,2010,0,0,4,86000
10122,2011,0,0,6,99692
10122,2012,0,0,2,42200
