"zip","year","provScore","dollScore","govtScore","vibrancy"
10001,2005,0.69691854885331,0.262792629261828,-0.0588518156123408,0.425984848590578
10001,2006,0.718923504716931,0.353554597858656,-0.0555391817434506,0.477061227984669
10001,2007,0.798481355940245,0.278134542738157,-0.0561193411567996,0.478865220289601
10001,2008,0.713522744174161,0.260789407172435,-0.0567641401939481,0.432764054086574
10001,2009,0.665339421865816,0.280769935611838,-0.0610322904914254,0.419645981815802
10001,2010,0.664950698440079,0.312264594181701,-0.0578554002073277,0.433961341659068
10001,2011,0.650646141115599,0.316783132072761,-0.0556452814497862,0.429778644789784
10001,2012,0.639309129005647,0.346393727646701,-0.0619701324167369,0.437369272251883
10001,2013,0.63816622920826,0.281474503286786,-0.0610975129719087,0.40772857832558
10001,2014,0.71516311059217,0.253636906181666,-0.0754541637685735,0.428414591171369
10001,2015,0.74759940275017,0.195544553525013,-0.0581005618532398,0.418604724138509
10002,2005,-0.034412073716092,-0.0666512292608649,0.00119788940679208,-0.0453586973989514
10002,2006,-0.0337761639478079,-0.0685501650701151,0.0140269235315269,-0.0446441557049127
10002,2007,-0.0343570209025001,-0.0427503355970837,-0.0007610580884321,-0.0347744162336559
10002,2008,-0.0303633400859632,-0.0216144284942419,-0.00464058343211536,-0.0238540542043038
10002,2009,-0.0334400432623956,-0.0305714876410953,0.0126714763943716,-0.0275380412671337
10002,2010,-0.0288047475896231,-0.0358673461805297,0.0494941132561704,-0.0241530308709517
10002,2011,-0.0258477667526187,-0.0358992108717592,0.0407668235212372,-0.0237094575788463
10002,2012,-0.0267209524311575,-0.024603732050495,0.0314927790881022,-0.0199468301079334
10002,2013,-0.0250606391241287,-0.0314713034425805,0.0263573948833203,-0.0228036346666871
10002,2014,-0.0229572195539421,-0.027418825644265,0.0807304701340843,-0.0145961733257848
10002,2015,-0.019202236386541,-0.0333060553230232,0.0235593060973703,-0.0212728006595669
10003,2005,0.317950532472501,0.252567314621754,0.281194734719569,0.284852504664372
10003,2006,0.298128299103063,0.119134863472534,0.243812348538414,0.21214965801286
10003,2007,0.378759529944402,0.179587116462534,0.160342295397657,0.267290220422887
10003,2008,0.396282405568423,0.175677639860605,0.254006324924184,0.282782652935481
10003,2009,0.366712104049343,0.172578290216397,0.196935249063193,0.262374202325902
10003,2010,0.400049087723986,0.151979257615107,0.212295987917785,0.26964235419437
10003,2011,0.398171425166285,0.14891745226446,0.229737271436679,0.269163721987503
10003,2012,0.405879451876501,0.196896554864399,0.261421032034471,0.297391306236852
10003,2013,0.420485217583632,0.17073746089257,0.22459645285787,0.288509850600078
10003,2014,0.442287622056948,0.166468802090262,0.401164615810836,0.314056852447328
10003,2015,0.455829950732504,0.132934802115151,0.199563106815159,0.284900449462961
10004,2005,0.288676267331824,0.00904353861543352,1.18627883456819,0.252601796133085
10004,2006,0.365361401967186,0.259189826579718,1.44023225367648,0.425071278213754
10004,2007,0.588492272210366,0.810099897502927,2.07089232900582,0.836455709271563
10004,2008,0.500701280409249,0.45552174474913,1.437821569981,0.57408251831937
10004,2009,0.492245077222196,0.480874362791932,1.93939493594902,0.63184324160126
10004,2010,0.418505075313661,1.87600036940519,2.25708829058139,1.25823627918162
10004,2011,0.453258825584082,1.99823777495637,2.12362622313157,1.31553609255636
10004,2012,0.81857520837112,0.442076257072826,2.38117286257046,0.805410445706821
10004,2013,0.884867152482715,0.313911276765959,2.48754957891959,0.788205251053862
10004,2014,0.696095251729065,0.591418156298899,2.07221835099371,0.786602868711956
10004,2015,0.678276356113155,0.50573709346074,2.71505012454067,0.80431106476232
10005,2005,0.0331702936817071,-0.0298011930578326,0.167827176097929,0.0182988128905365
10005,2006,0.0277308100545926,-0.053178971017378,-0.0501642270338822,-0.0164680951366417
10005,2007,0.0280028594791544,-0.0502625572171266,0.0263090225046917,-0.00738596173161835
10005,2008,0.04027335249225,0.0456509745719204,-0.0272073757011966,0.035945209608757
10005,2009,0.0585852816385688,0.0110478481708649,0.0326696794573428,0.0346018763599794
10005,2010,0.0984951719658975,0.0453508089101165,-0.00738009531218154,0.0639926818629881
10005,2011,0.0930961078063527,0.0196467258501214,-0.00354409002051432,0.0503798661433619
10005,2012,0.113664159601397,0.0654986784675624,0.00477133709757732,0.0811004108407896
10005,2013,0.0960139881043935,0.0559421332828713,0.0176562132826992,0.0701458759525391
10005,2014,0.0925384625720619,0.0387514367318209,-0.0462807950439695,0.0544523751823503
10005,2015,0.106757243795496,0.069247886399741,-0.0148484544097383,0.077717463146883
10006,2005,0.0642708532254933,-0.0566436929201886,-0.0437463977325212,-0.000942417635864977
10006,2006,0.0993447497817174,-0.0564802826120909,-0.0610520542311116,0.0131838048032208
10006,2007,0.0923882181464953,-0.0615974099107385,0.0791627821869854,0.0217721419247891
10006,2008,0.0904726371514474,0.420651566412203,0.0474614680467896,0.234752038408322
10006,2009,0.125423885748872,0.475533795334602,-0.0272167009057722,0.267709286396986
10006,2010,0.113625860482197,-0.0525421947673018,0.126574851731902,0.0401451347448929
10006,2011,0.111305574005586,-0.05554417351997,0.0980434162192749,0.0348969718404548
10006,2012,0.13350400149819,0.0386877130194922,0.00163870895747328,0.0776501424287041
10006,2013,0.160984300551625,-0.0219362931290185,-0.0610975129719087,0.0564618520429819
10006,2014,0.0914449476423129,0.41330057190101,-0.0754541637685735,0.219590067417638
10006,2015,0.10545153718806,0.414498944393597,-0.0581005618532398,0.228167660526422
10007,2005,0.251207996193808,0.187297135222648,0.0634527126884818,0.203672580406253
10007,2006,0.192667567443473,0.0670443794493456,-0.0270971461628611,0.114160661485482
