"zip","year","awards","dollars"
10011,1999,100,1566844
10011,2000,106,1772190
10011,2001,144,1967520
10011,2002,130,1875960
10011,2003,160,2216346
10011,2004,146,1765816
10011,2005,158,1948332
10011,2006,120,1617278
10011,2007,140,2225078
10011,2008,138,2307396
10011,2009,110,1798642
10011,2010,138,2186204
10011,2011,120,1785758
10011,2012,106,1412726
10011,2013,108,1602202
10011,2014,34,487564
10011,2015,86,1261200
10011,2016,78,1628096
10012,1987,302,3194156
10012,1988,352,4444928
10012,1989,452,5241066
10012,1990,416,5482246
10012,1991,366,5101356
10012,1992,374,3025888
10012,1993,204,2062592
10012,1994,230,2465210
10012,1995,224,2628040
10012,1996,204,2105680
10012,1997,268,2855914
10012,1998,156,2527676
10012,1999,164,2777684
10012,2000,228,8157368
10012,2001,144,2815450
10012,2002,166,2806360
10012,2003,170,2718750
10012,2004,148,2147900
10012,2005,136,1824300
10012,2006,152,1869758
10012,2007,158,2352900
10012,2008,168,2492478
10012,2009,132,1777656
10012,2010,122,1235018
10012,2011,118,1283760
10012,2012,94,957946
10012,2013,90,938180
10012,2014,10,277000
10012,2015,100,1095400
10012,2016,70,875300
10013,1986,2,4000
10013,1987,336,3784324
10013,1988,338,4038496
10013,1989,414,4201394
10013,1990,340,4189746
10013,1991,338,8748004
10013,1992,348,4943276
10013,1993,230,4438420
10013,1994,288,5381188
10013,1995,346,6622764
10013,1996,336,5823812
10013,1997,370,6791468
10013,1998,258,7968912
10013,1999,254,7570844
10013,2000,212,3543552
10013,2001,318,10504474
10013,2002,324,9347940
10013,2003,308,8984194
10013,2004,256,6064502
10013,2005,278,6134240
10013,2006,248,5459860
10013,2007,234,5752486
10013,2008,280,7120010
10013,2009,196,6616576
10013,2010,224,3186614
10013,2011,204,3031258
10013,2012,212,2954084
10013,2013,202,2943630
10013,2014,6,41000
10013,2015,116,1624860
10013,2016,110,1733950
10014,1986,2,17200
10014,1987,72,734400
10014,1988,98,964796
10014,1989,98,1168250
10014,1990,114,1365434
10014,1991,82,1126092
10014,1992,100,657272
10014,1993,72,585352
10014,1994,66,571668
10014,1995,68,653170
10014,1996,66,478002
10014,1997,60,536420
10014,1998,54,596108
10014,1999,74,1420802
10014,2000,64,1361598
10014,2001,68,1498802
10014,2002,66,1191900
10014,2003,60,1153300
10014,2004,62,791550
10014,2005,78,866718
10014,2006,68,926478
10014,2007,62,913340
10014,2008,68,1394854
10014,2009,50,901200
10014,2010,68,1025108
10014,2011,56,717038
10014,2012,56,727720
10014,2013,72,1008300
10014,2014,14,168200
10014,2015,80,1342840
10014,2016,80,1444698
10016,1986,2,2232
10016,1987,40,536800
10016,1988,30,513040
10016,1989,52,597700
10016,1990,28,548360
10016,1991,26,440000
10016,1992,26,299208
10016,1993,14,220578
10016,1994,12,243092
10016,1995,28,342506
10016,1996,24,306686
10016,1997,34,336622
10016,1998,22,345904
10016,1999,40,455018
10016,2000,20,244092
10016,2001,38,539190
10016,2002,40,504110
10016,2003,40,584910
10016,2004,36,413800
10016,2005,26,340800
10016,2006,40,493000
10016,2007,50,554660
10016,2008,56,697750
10016,2009,28,475200
10016,2010,42,516480
10016,2011,50,552414
10016,2012,48,497048
10016,2013,58,695230
10016,2014,6,37200
10016,2015,38,589720
10016,2016,44,814086
10017,1986,2,2000
10017,1987,28,258000
10017,1988,28,254446
10017,1989,32,248246
10017,1990,38,412100
10017,1991,32,348760
